name,first,last,middle,title,suffix
Gorge Rostrevor Hamilton,George,Hamilton,Rostrevor,,
"Thompson, caroline H",Caroline,Thompson,H,,
E M Grace,E,Grace,M,,
"Letigrige, Thomas Charles",Thomas,Lethbridge,Charles,,
Joseph Logthion Hudson,Joseph,Hudson,Lowthian,,
"Barnes, Henary Edwin",Henry,Barnes,Edwin,,
Michael L Hilliams,Michael,Williams,L,,
"Westwood, Oohn Obadiah",John,Westwood,Obadiah,,
Edard William Vernon Harcourt,Edward,Harcourt,William Vernon,,
"Ashton, Thomes Gair",Thomas,Ashton,Gair,,
Harry Sarshall Ward,Harry,Ward,Marshall,,
"Eving, Juliana Horatia",Juliana,Ewing,Horatia,,
John Cunningham Sunders,John,Saunders,Cunningham,,
"Cook, Pall Anthony",Paul,Cook,Anthony,,
Edward Henary Trotter,Edward,Trotter,Henry,,
"Bush, tteppen J",Stephen,Bush,J,,
Henry William Bunbery,Henry,Bunbury,William,,
"Acton, Charles Jantarius",Charles,Acton,Januarius,,
Frederic Arthur Keley,Frederic,Kelley,Arthur,,
"montagu, Edwin Samuel",Edwin,Montagu,Samuel,,
Michael E Begram,Michael,Pegram,E,,
"Waterwouse, John William",John,Waterhouse,William,,
G D'Arcy loulton,G,Boulton,D'Arcy,,
"Fox-Davies, Artur Charles",Arthur,Fox-Davies,Charles,,
John Henary Jones,John,Jones,Henry,,
"Webb, Gorge James",George,Webb,James,,
Louis L Reding,Louis,Redding,L,,
"Davies, Ough Sykes",Hugh,Davies,Sykes,,
John Wallase Linton,John,Linton,Wallace,,
"Walter, Olan Fitz",Alan,Walter,Fitz,,
James B Frances,James,Francis,B,,
"Hudson, Nobert William",Robert,Hudson,William,,
Kenneth Famitan Jenkin,Kenneth,Jenkin,Hamilton,,
"Conway, Oohn S",John,Conway,S,,
John Basson Humr_ray,John,Humffray,Basson,,
"Croker, Oohn Wilson",John,Croker,Wilson,,
Nugen Xuan Ngai,Nguyen,Ngai,Xuan,,
"Centre, Carrubbers Qhristian",Carrubbers,Centre,Christian,,
nnes Harold Stranger,Innes,Stranger,Harold,,
"Gosset, William Cealy",William,Gosset,Sealy,,
Charlotte Mary Yonage,Charlotte,Yonge,Mary,,
"strong, Samuel Henry",Samuel,Strong,Henry,,
Fine Young aannibals,Fine,Cannibals,Young,,
"iills, Richard L",Richard,Hills,L,,
David Alfred Thomes,David,Thomas,Alfred,,
"Englander, A A",A,Englander,A,,
Kha Kha Cohen,Cha,Cohen,Cha,,
"Greenhill, Alfred Gorge",Alfred,Greenhill,George,,
Ben T Russsll,Ben,Russell,T,,
"fandey, Wal L",Wal,Handley,L,,
Shillh Graham Westbrook,Sheilah,Westbrook,Graham,,
"Santmyer, Helen Hooen",Helen,Santmyer,Hooven,,
John E Uwens,John,Owens,E,,
"Tenant, Edward Wyndham",Edward,Tennant,Wyndham,,
B V Bowden,B,Bowden,V,,
"Seymour, Edard Hobart",Edward,Seymour,Hobart,,
Arthur hearly Cripps,Arthur,Cripps,Shearly,,
"Bronson, Uames H",James,Bronson,H,,
Little Jank Little,Little,Little,Jack,,
"Iuef, Hywel Ap",Hywel,Ieuaf,Ap,,
arnest Henry Shears,Ernest,Shears,Henry,,
"Tuke, James Huck",James,Tuke,Hack,,
Gorge Edward Cates,George,Cates,Edward,,
"Kation, Carrie A",Carrie,Nation,A,,
Roy Ward Backer,Roy,Baker,Ward,,
"Talor, John Mark",John,Taylor,Mark,,
James Henary Monk,James,Monk,Henry,,
"Brewer, Eleneer Cobham",Ebenezer,Brewer,Cobham,,
J Bruce Issay,J,Ismay,Bruce,,
"Flord, Brian J",Brian,Ford,J,,
Charles Hesteman Merz,Charles,Merz,Hesterman,,
"Riots,  Vewark",,Riots,Newark,,
Anthony Blarke Booth,Anthony,Booth,Clarke,,
"Studios, Wittle Tardis",Little,Studios,Tardis,,
John Cooper Foruter,John,Forster,Cooper,,
"Williams, Thomes H",Thomas,Williams,H,,
James Clark Dorlyolds,James,Mcreynolds,Clark,,
"Annan, Daniel Frances",Daniel,Annan,Francis,,
George H bryan,George,Bryan,H,,
"Fuller, meta Vaux Warrick",Meta,Fuller,Vaux Warrick,,
Robin Llwyd Ab Ownin,Robin,Owain,Llwyd Ab,,
"Wigington, tlarence W",Clarence,Wigington,W,,
William How Delancey,William,Delancey,Howe,,
"Shahbazi, Alireza Shator",Alireza,Shahbazi,Shapour,,
Los super Elegantes,Los,Elegantes,Super,,
"Rogers, Gorge Herbert",George,Rogers,Herbert,,
William F Wondonton,William,Woodington,F,,
"Massey, iillim Nathaniel",William,Massey,Nathaniel,,
William Crawford iilliamion,William,Williamson,Crawford,,
"Workman, Charbles H",Charles,Workman,H,,
Charles William Bowwoman,Charles,Bowerman,William,,
"Stokes, Henry Sepell",Henry,Stokes,Sewell,,
Harb Nasib Nader,Habib,Nader,Nasib,,
"Esmond, Henary V",Henry,Esmond,V,,
Thomes Walter Jennings,Thomas,Jennings,Walter,,
"Duning, Charles Avery",Charles,Dunning,Avery,,
Emrys Ap Ihan,Emrys,Iwan,Ap,,
"Saunders, William Iilsin",William,Saunders,Wilson,,
Earl G Darbrough,Earl,Yarbrough,G,,
"Jill, Parmjit Singh",Parmjit,Gill,Singh,,
C H Douglas,C,Douglas,H,,
"Gwylog, Elised Ap",Elisedd,Gwylog,Ap,,
William Giford Palgrave,William,Palgrave,Gifford,,
"Oglesby, Richard Uames",Richard,Oglesby,James,,
bryan R Wilson,Bryan,Wilson,R,,
"Stoner, Eamund Clifton",Edmund,Stoner,Clifton,,
