name,first,last,middle,title,suffix
George Rostrevor Hamilton,George,Hamilton,Rostrevor,,
"Thompson, Caroline H",Caroline,Thompson,H,,
E M Grace,E,Grace,M,,
"Lethbridge, Thomas Charles",Thomas,Lethbridge,Charles,,
Joseph Lowthian Hudson,Joseph,Hudson,Lowthian,,
"Barnes, Henry Edwin",Henry,Barnes,Edwin,,
Michael L Williams,Michael,Williams,L,,
"Westwood, John Obadiah",John,Westwood,Obadiah,,
Edward William Vernon Harcourt,Edward,Harcourt,William Vernon,,
"Ashton, Thomas Gair",Thomas,Ashton,Gair,,
Harry Marshall Ward,Harry,Ward,Marshall,,
"Ewing, Juliana Horatia",Juliana,Ewing,Horatia,,
John Cunningham Saunders,John,Saunders,Cunningham,,
"Cook, Paul Anthony",Paul,Cook,Anthony,,
Edward Henry Trotter,Edward,Trotter,Henry,,
"Bush, Stephen J",Stephen,Bush,J,,
Henry William Bunbury,Henry,Bunbury,William,,
"Acton, Charles Januarius",Charles,Acton,Januarius,,
Frederic Arthur Kelley,Frederic,Kelley,Arthur,,
"Montagu, Edwin Samuel",Edwin,Montagu,Samuel,,
Michael E Pegram,Michael,Pegram,E,,
"Waterhouse, John William",John,Waterhouse,William,,
G D'Arcy Boulton,G,Boulton,D'Arcy,,
"Fox-Davies, Arthur Charles",Arthur,Fox-Davies,Charles,,
John Henry Jones,John,Jones,Henry,,
"Webb, George James",George,Webb,James,,
Louis L Redding,Louis,Redding,L,,
"Davies, Hugh Sykes",Hugh,Davies,Sykes,,
John Wallace Linton,John,Linton,Wallace,,
"Walter, Alan Fitz",Alan,Walter,Fitz,,
James B Francis,James,Francis,B,,
"Hudson, Robert William",Robert,Hudson,William,,
Kenneth Hamilton Jenkin,Kenneth,Jenkin,Hamilton,,
"Conway, John S",John,Conway,S,,
John Basson Humffray,John,Humffray,Basson,,
"Croker, John Wilson",John,Croker,Wilson,,
Nguyen Xuan Ngai,Nguyen,Ngai,Xuan,,
"Centre, Carrubbers Christian",Carrubbers,Centre,Christian,,
Innes Harold Stranger,Innes,Stranger,Harold,,
"Gosset, William Sealy",William,Gosset,Sealy,,
Charlotte Mary Yonge,Charlotte,Yonge,Mary,,
"Strong, Samuel Henry",Samuel,Strong,Henry,,
Fine Young Cannibals,Fine,Cannibals,Young,,
"Hills, Richard L",Richard,Hills,L,,
David Alfred Thomas,David,Thomas,Alfred,,
"Englander, A A",A,Englander,A,,
Cha Cha Cohen,Cha,Cohen,Cha,,
"Greenhill, Alfred George",Alfred,Greenhill,George,,
Ben T Russell,Ben,Russell,T,,
"Handley, Wal L",Wal,Handley,L,,
Sheilah Graham Westbrook,Sheilah,Westbrook,Graham,,
"Santmyer, Helen Hooven",Helen,Santmyer,Hooven,,
John E Owens,John,Owens,E,,
"Tennant, Edward Wyndham",Edward,Tennant,Wyndham,,
B V Bowden,B,Bowden,V,,
"Seymour, Edward Hobart",Edward,Seymour,Hobart,,
Arthur Shearly Cripps,Arthur,Cripps,Shearly,,
"Bronson, James H",James,Bronson,H,,
Little Jack Little,Little,Little,Jack,,
"Ieuaf, Hywel Ap",Hywel,Ieuaf,Ap,,
Ernest Henry Shears,Ernest,Shears,Henry,,
"Tuke, James Hack",James,Tuke,Hack,,
George Edward Cates,George,Cates,Edward,,
"Nation, Carrie A",Carrie,Nation,A,,
Roy Ward Baker,Roy,Baker,Ward,,
"Taylor, John Mark",John,Taylor,Mark,,
James Henry Monk,James,Monk,Henry,,
"Brewer, Ebenezer Cobham",Ebenezer,Brewer,Cobham,,
J Bruce Ismay,J,Ismay,Bruce,,
"Ford, Brian J",Brian,Ford,J,,
Charles Hesterman Merz,Charles,Merz,Hesterman,,
"Riots,  Newark",,Riots,Newark,,
Anthony Clarke Booth,Anthony,Booth,Clarke,,
"Studios, Little Tardis",Little,Studios,Tardis,,
John Cooper Forster,John,Forster,Cooper,,
"Williams, Thomas H",Thomas,Williams,H,,
James Clark Mcreynolds,James,Mcreynolds,Clark,,
"Annan, Daniel Francis",Daniel,Annan,Francis,,
George H Bryan,George,Bryan,H,,
"Fuller, Meta Vaux Warrick",Meta,Fuller,Vaux Warrick,,
Robin Llwyd Ab Owain,Robin,Owain,Llwyd Ab,,
"Wigington, Clarence W",Clarence,Wigington,W,,
William Howe Delancey,William,Delancey,Howe,,
"Shahbazi, Alireza Shapour",Alireza,Shahbazi,Shapour,,
Los Super Elegantes,Los,Elegantes,Super,,
"Rogers, George Herbert",George,Rogers,Herbert,,
William F Woodington,William,Woodington,F,,
"Massey, William Nathaniel",William,Massey,Nathaniel,,
William Crawford Williamson,William,Williamson,Crawford,,
"Workman, Charles H",Charles,Workman,H,,
Charles William Bowerman,Charles,Bowerman,William,,
"Stokes, Henry Sewell",Henry,Stokes,Sewell,,
Habib Nasib Nader,Habib,Nader,Nasib,,
"Esmond, Henry V",Henry,Esmond,V,,
Thomas Walter Jennings,Thomas,Jennings,Walter,,
"Dunning, Charles Avery",Charles,Dunning,Avery,,
Emrys Ap Iwan,Emrys,Iwan,Ap,,
"Saunders, William Wilson",William,Saunders,Wilson,,
Earl G Yarbrough,Earl,Yarbrough,G,,
"Gill, Parmjit Singh",Parmjit,Gill,Singh,,
C H Douglas,C,Douglas,H,,
"Gwylog, Elisedd Ap",Elisedd,Gwylog,Ap,,
William Gifford Palgrave,William,Palgrave,Gifford,,
"Oglesby, Richard James",Richard,Oglesby,James,,
Bryan R Wilson,Bryan,Wilson,R,,
"Stoner, Edmund Clifton",Edmund,Stoner,Clifton,,
Elizabeth Jennings Graham,Elizabeth,Graham,Jennings,,
"Simms, George Otto",George,Simms,Otto,,
Moses A Hopkins,Moses,Hopkins,A,,
"Pillay, Gerald J",Gerald,Pillay,J,,
Freddy Shepherd,Freddy,Shepherd,,,
"Blumenthal, Heston",Heston,Blumenthal,,,
Keith Shine,Keith,Shine,,,
"Lamont, John",John,Lamont,,,
John Silkin,John,Silkin,,,
"Courtney, Richard",Richard,Courtney,,,
Eldridge Cleaver,Eldridge,Cleaver,,,
"Holdsworth, Dean",Dean,Holdsworth,,,
Duncan Mclaren,Duncan,Mclaren,,,
"Newbon, Gary",Gary,Newbon,,,
Brian Greene,Brian,Greene,,,
"Willingham, Ken",Ken,Willingham,,,
Alfred Waud,Alfred,Waud,,,
"David, Dharshini",Dharshini,David,,,
George Ault,George,Ault,,,
"Davies, Bryn",Bryn,Davies,,,
Richard Jugge,Richard,Jugge,,,
"Sinden, Jeremy",Jeremy,Sinden,,,
Frederick Cavendish,Frederick,Cavendish,,,
"Carey, Archibald",Archibald,Carey,,,
Nicola Stanbridge,Nicola,Stanbridge,,,
"Beaumont, Dave",Dave,Beaumont,,,
Ernest Creighton,Ernest,Creighton,,,
"Bamford, Maria",Maria,Bamford,,,
Michael Harris,Michael,Harris,,,
"Neame, Philip",Philip,Neame,,,
Raymond Lygo,Raymond,Lygo,,,
"Blaney, Donal",Donal,Blaney,,,
Drew Bledsoe,Drew,Bledsoe,,,
"Dingle, Butch",Butch,Dingle,,,
David Bailey,David,Bailey,,,
"Townshend, Cliff",Cliff,Townshend,,,
Kieran Gibbs,Kieran,Gibbs,,,
"Wolfram, Stephen",Stephen,Wolfram,,,
Sasha Perera,Sasha,Perera,,,
"Williamson, Mike",Mike,Williamson,,,
John Amias,John,Amias,,,
"Garrod, Archibald",Archibald,Garrod,,,
Michael King,Michael,King,,,
"Bishop, David",David,Bishop,,,
William Lloyd,William,Lloyd,,,
